Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.077,0.00278354,0.0229209
0.0771,0.00278124,0.0229208
0.0772,0.00277895,0.0229206
0.0773,0.00277666,0.0229205
0.0774,0.00277437,0.0229204
0.0775,0.00277208,0.0229203
0.0776,0.00276978,0.0229202
0.0777,0.00276749,0.0229201
0.0778,0.0027652,0.02292
0.0779,0.00276291,0.0229199
0.078,0.00276062,0.0229198
0.0781,0.00275832,0.0229197
0.0782,0.00275603,0.0229196
0.0783,0.00275374,0.0229195
0.0784,0.00275145,0.0229195
0.0785,0.00274916,0.0229194
0.0786,0.00274687,0.0229193
0.0787,0.00274457,0.0229192
0.0788,0.00274228,0.0229191
0.0789,0.00273999,0.0229191
0.079,0.0027377,0.022919
0.0791,0.0027354,0.0229189
0.0792,0.00273311,0.0229189
0.0793,0.00273082,0.0229188
0.0794,0.00272853,0.0229188
0.0795,0.00272624,0.0229187
0.0796,0.00272395,0.0229186
0.0797,0.00272165,0.0229186
0.0798,0.00271936,0.0229185
0.0799,0.00271707,0.0229185
0.08,0.00271478,0.0229184
0.0801,0.00271249,0.0229184
0.0802,0.0027102,0.0229183
0.0803,0.0027079,0.0229183
0.0804,0.00270561,0.0229182
0.0805,0.00270332,0.0229182
0.0806,0.00270103,0.0229182
0.0807,0.00269873,0.0229181
0.0808,0.00269644,0.0229181
