date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
3.08,0.0376323,-0.145316,-0.818281,-0.325983,-0.0866822
3.09,0.022103,-0.0482802,-0.840262,-0.426197,-0.0874921
3.1,0.0359613,0.135318,-0.396902,-0.465507,-0.105559
3.11,0.038841,0.240129,0.0365367,-0.473169,-0.120194
3.12,0.0707905,0.386677,0.270283,-0.479914,-0.148907
3.13,0.0737697,0.490032,0.39669,-0.451543,-0.15366
3.14,0.1043,0.544484,0.482551,-0.428775,-0.166485
3.15,0.110024,0.536936,0.610493,-0.432681,-0.152527
3.16,0.118182,0.530617,0.713954,-0.283705,-0.138783
3.17,0.127866,0.494526,0.790129,-0.13187,-0.126235
3.18,0.132022,0.485563,0.876783,-0.0416844,-0.12324
3.19,0.154195,0.481677,0.883111,-0.00413334,-0.11505
3.2,0.163456,0.450772,0.911261,0.0297587,-0.10345
3.21,0.166779,0.436529,0.97855,0.0856186,-0.129586
3.22,0.179815,0.39733,1.00913,0.129274,-0.16255
3.23,0.167892,0.359943,0.818177,0.099556,-0.16821
3.24,0.173179,0.246765,0.535178,0.00394069,-0.188519
3.25,0.151661,0.19702,0.291291,-0.156634,-0.184528
3.26,0.149237,0.201948,0.159842,-0.281062,-0.160782
3.27,0.131595,0.26534,0.068969,-0.416916,-0.149731
3.28,0.12993,0.326693,-0.0584332,-0.451138,-0.148239
3.29,0.128867,0.335288,-0.0951145,-0.469636,-0.173444
3.3,0.114238,0.338003,-0.0963397,-0.484568,-0.190457
3.31,0.12202,0.34126,-0.0728644,-0.500852,-0.232857
3.32,0.124672,0.334184,-0.0692137,-0.517196,-0.230284
3.33,0.115937,0.332953,-0.15524,-0.55054,-0.250104
3.34,0.114299,0.343247,-0.280928,-0.543302,-0.283294
3.35,0.131324,0.225597,-0.436508,-0.500551,-0.270615
3.36,0.15082,0.139192,-0.545116,-0.436249,-0.287648
3.37,0.151259,0.0525153,-0.718825,-0.423559,-0.276822
3.38,0.144709,0.0415715,-0.650842,-0.421096,-0.2563
3.39,0.12129,0.0647806,-0.565457,-0.432944,-0.255801
3.4,0.0968723,0.0999002,-0.373451,-0.461157,-0.24335
3.41,0.0903733,0.130409,-0.283482,-0.497971,-0.239765
3.42,0.0874498,0.145776,-0.0143943,-0.528834,-0.208787
3.43,0.0722588,0.191333,0.0962078,-0.507891,-0.177261
3.44,0.0536175,0.224675,0.168876,-0.492974,-0.169977
3.45,0.030143,0.193848,0.181421,-0.435375,-0.12233
3.46,0.00478002,0.181897,0.163846,-0.331036,-0.0857251
3.47,0.032495,0.170882,0.242713,-0.282195,-0.0770468
3.48,0.0375814,0.124507,0.228945,-0.150357,-0.0731326
3.49,0.0485412,0.128258,0.291804,-0.082685,-0.0601918
3.5,0.0648166,0.183618,0.356709,-0.000411406,-0.0754493
3.51,0.0721479,0.232768,0.36819,0.0231033,-0.146493
3.52,0.0838725,0.193353,0.317323,0.0135492,-0.138278
